Ranked list of top compounds using CMAP dataset
Rank	Score	Type	ID	Name	Description
272	71.03	cp	BRD-K04412738	tramadol	Norepinephrine reuptake inhibitor
277	70.46	cp	BRD-K56957086	dacinostat	HDAC inhibitor
278	70.36	cp	BRD-K92428153	mycophenolate-mofetil	Dehydrogenase inhibitor
286	70.13	cp	BRD-K12906962	dichlorobenzamil	Sodium/calcium exchange inhibitor
289	69.72	cp	BRD-K23204545	busulfan	DNA inhibitor
290	69.69	cp	BRD-K98493452	honokiol	AKT inhibitor
291	69.68	cp	BRD-K49372556	mofezolac	Cyclooxygenase inhibitor
294	69.6	cp	BRD-K50140147	NVP-TAE684	ALK inhibitor
295	69.57	cp	BRD-K41859756	NVP-AUY922	HSP inhibitor
297	69.45	cp	BRD-K19352500	prochlorperazine	Dopamine receptor antagonist
306	68.78	cp	BRD-K01567962	pyrazolanthrone	JNK inhibitor
308	68.69	cp	BRD-A74980173	gatifloxacin	Bacterial DNA gyrase inhibitor
310	68.65	cp	BRD-K83794624	pirarubicin	Topoisomerase inhibitor
312	68.14	cp	BRD-A11702965	chromomycin-a3	DNA binding agent
315	67.83	cp	BRD-K69650333	idarubicin	Topoisomerase inhibitor
324	67.34	cp	BRD-K79437791	acetyl-farnesyl-cysteine	Inhibitor of methylation of endogenous isoprenylated proteins
326	67.17	cp	BRD-A43082555	loxoprofen	Cyclooxygenase inhibitor
342	65.85	cp	BRD-K68336408	tyrphostin-AG-1478	EGFR inhibitor
355	65.22	cp	BRD-A79903587	tegafur	Thymidylate synthase inhibitor
357	65.16	cp	BRD-K62810658	PD-98059	MEK inhibitor
362	64.63	cp	BRD-A04308630	genipin	Choleretic agent
371	64.08	cp	BRD-K93332168	isocarboxazid	Monoamine oxidase inhibitor
373	63.96	cp	BRD-K88849294	lobaric-acid	Tyrosine phosphatase inhibitor
377	63.82	cp	BRD-K60160658	tiagabine	GABA uptake inhibitor
380	63.74	cp	BRD-K40782193	QX-222	Sodium channel blocker
383	63.33	cp	BRD-K71289571	zafirlukast	Leukotriene receptor antagonist
385	63.19	cp	BRD-A65440446	cimaterol	Adrenergic receptor agonist
386	62.96	cp	BRD-K43236057	piceid	ICAM1 inhibitor
389	62.58	cp	BRD-K44067360	flufenamic-acid	Chloride channel blocker
391	62.37	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
394	62.21	cp	BRD-A20697603	thiostrepton	FOXM1 inhibitor
396	62.07	cp	BRD-A41304429	practolol	Adrenergic receptor antagonist
397	62.06	cp	BRD-A08877921	cephalotaxine	Protein synthesis inhibitor
403	61.66	cp	BRD-K51967704	BIIB021	HSP inhibitor
408	61.35	cp	BRD-K33551950	radicicol	HSP inhibitor
416	61.09	cp	BRD-K08115555	tyrphostin-AG-1288	TNF production inhibitor
419	61.02	cp	BRD-K69840642	ISOX	HDAC inhibitor
423	60.81	cp	BRD-K87919739	tyrphostin-AG-825	Receptor tyrosine protein kinase inhibitor
425	60.62	cp	BRD-K99749624	linifanib	PDGFR receptor inhibitor
426	60.49	cp	BRD-K95851186	CGP-13501	GABA receptor modulator
429	60.42	cp	BRD-K17743697	KB-R7943	Sodium/calcium exchange inhibitor
432	60.29	cp	BRD-K18855837	varenicline	Acetylcholine receptor agonist
434	60.27	cp	BRD-K54256913	MK-1775	WEE1 kinase inhibitor
438	60.04	cp	BRD-A13188892	doxazosin	Adrenergic receptor antagonist
441	59.79	cp	BRD-K79090631	CGP-60474	CDK inhibitor
446	59.52	cp	BRD-K12260308	xanthoxyline	Antifungal
448	59.48	cp	BRD-A13133631	fluorometholone	Glucocorticoid receptor agonist
449	59.46	cp	BRD-A97730597	hexylcaine	Sodium channel blocker
450	59.29	cp	BRD-K98548675	parthenolide	NFkB pathway inhibitor
451	59.19	cp	BRD-K87024524	phenelzine	Monoamine oxidase inhibitor
457	58.83	cp	BRD-A72711497	lasalocid	Bacterial permeability inducer
459	58.53	cp	BRD-K08556791	ethoprop	Acetylcholinesterase inhibitor
461	58.24	cp	BRD-A09539288	homatropine	Acetylcholine receptor antagonist
462	58.09	cp	BRD-A42346008	metanephrine	Epinephrine metabolite
464	58.02	cp	BRD-K05804044	AZ-628	RAF inhibitor
470	57.73	cp	BRD-K61341215	vecuronium	Acetylcholine receptor antagonist
484	57.07	cp	BRD-K91243525	SR-142948	Neurotensin receptor antagonist
487	56.97	cp	BRD-A65449987	flunisolide	Cytochrome P450 inhibitor
492	56.77	cp	BRD-K15916496	clotrimazole	Cytochrome P450 inhibitor
494	56.47	cp	BRD-A01346607	flumetasone	Glucocorticoid receptor agonist
495	56.34	cp	BRD-A82096673	KU-C103428N	CDC inhibitor
496	56.32	cp	BRD-A71009679	KUC103420N	-666
500	56.16	cp	BRD-M16762496	PIK-75	DNA protein kinase inhibitor
503	56.03	cp	BRD-K71003802	hippeastrine	Plant alkaloid
504	56	cp	BRD-A19500257	geldanamycin	HSP inhibitor
505	55.88	cp	BRD-K51671335	sulpiride	Dopamine receptor antagonist
510	55.57	cp	BRD-K41337261	ZM-306416	ABL inhibitor
511	55.55	cp	BRD-K99174507	cardiogenol-c	Cardiomyogenesis inducer
514	55.47	cp	BRD-K27721098	clopidogrel	Purinergic receptor antagonist
523	55.18	cp	BRD-K06388322	pramipexole	Dopamine receptor agonist
527	54.94	cp	BRD-K49945136	GR-113808	Serotonin receptor antagonist
531	54.7	cp	BRD-A16934955	nalbuphine	Opioid receptor agonist
537	54.09	cp	BRD-K86204871	terconazole	Sterol demethylase inhibitor
541	53.94	cp	BRD-K20714604	RS-56812	Serotonin receptor partial agonist
542	53.89	cp	BRD-A59985574	topotecan	Topoisomerase inhibitor
545	53.76	cp	BRD-A73909368	dactinomycin	RNA polymerase inhibitor
547	53.69	cp	BRD-K29530284	amlexanox	Histamine receptor modulator
556	53.27	cp	BRD-A70514680	articaine	Local anesthetic
561	52.88	cp	BRD-K81916719	triclabendazole	Microtubule inhibitor
565	52.74	cp	BRD-K29173907	isoflupredone	Glucocorticoid receptor agonist
570	52.39	cp	BRD-A18497530	5-iodotubercidin	Adenosine kinase inhibitor
572	52.35	cp	BRD-K92870997	pterostilbene	Cyclooxygenase inhibitor
574	52.27	cp	BRD-A95696820	acadesine	AMPK activator
589	51.67	cp	BRD-A13084692	troglitazone	Insulin sensitizer
590	51.67	cp	BRD-K81521265	dicyclohexylurea	Epoxide hydolase inhibitor
592	51.57	cp	BRD-K82164249	andarine	Androgen receptor modulator
594	51.52	cp	BRD-A06352508	SB-218078	CHK inhibitor
596	51.48	cp	BRD-K50135270	GBR-12935	Dopamine uptake inhibitor
598	51.44	cp	BRD-K17497770	butein	EGFR inhibitor
601	51.24	cp	BRD-K98490050	amsacrine	Topoisomerase inhibitor
602	51.21	cp	BRD-K45158365	valsartan	Angiotensin receptor antagonist
607	51	cp	BRD-K47983010	BX-795	IKK inhibitor
610	50.91	cp	BRD-K27499107	carbacyclin	IP receptor activator
615	50.68	cp	BRD-K02953697	naringin	Cytochrome P450 inhibitor
617	50.57	cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist
627	50.24	cp	BRD-K15935639	z-leu3-VS	Proteasome inhibitor
628	50.19	cp	BRD-K69032158	diprotin-a	Dipeptidyl peptidase inhibitor
638	49.76	cp	BRD-K15933101	ropinirole	Dopamine receptor agonist
642	49.63	cp	BRD-K02275692	cefotiam	Bacterial cell wall synthesis inhibitor
645	49.4	cp	BRD-K81418486	vorinostat	HDAC inhibitor
648	49.14	cp	BRD-K49404994	levetiracetam	Calcium channel blocker
654	48.83	cp	BRD-K77286328	reversine	Aurora kinase inhibitor
656	48.78	cp	BRD-K37447567	hydrocotarnine	Opioid receptor antagonist
657	48.77	cp	BRD-K41445866	alfaxalone	Chloride channel agonist
659	48.76	cp	BRD-K64890080	BI-2536	PLK inhibitor
662	48.6	cp	BRD-K83144676	olmesartan	Angiotensin antagonist
668	48.21	cp	BRD-K00532621	midazolam	Benzodiazepine receptor agonist
671	47.95	cp	BRD-K95785537	PP-2	SRC inhibitor
681	47.31	cp	BRD-A13807286	HA-14-1	BCL inhibitor
683	47.27	cp	BRD-K43389675	daunorubicin	RNA synthesis inhibitor
684	47.24	cp	BRD-A63546914	RO-04-5595	Glutamate receptor antagonist
688	47.16	cp	BRD-K43880410	pregnenolone	glutamate receptor modulator
692	46.78	cp	BRD-K81729199	AQ-RA741	Acetylcholine receptor antagonist
696	46.69	cp	BRD-K50417881	eticlopride	Dopamine receptor antagonist
700	46.49	cp	BRD-K13646352	midostaurin	FLT3 inhibitor
703	46.43	cp	BRD-A92439610	triamcinolone	Glucocorticoid receptor agonist
711	45.85	cp	BRD-K66175015	afatinib	EGFR inhibitor
717	45.73	cp	BRD-K87696786	LY-456236	Glutamate receptor antagonist
723	45.4	cp	BRD-K92413528	thiazolidinecarboxylic-acid	Reducing agent
728	45.2	cp	BRD-K81062487	taurocholic-acid	Bile acid
729	45.13	cp	BRD-K35629949	SR-27897	CCK receptor antagonist
731	45	cp	BRD-K37312348	kenpaullone	CDK inhibitor
736	44.79	cp	BRD-K34092021	arvanil	TRPV agonist
743	44.65	cp	BRD-K62858456	lomerizine	Calcium channel blocker
748	44.5	cp	BRD-K57631554	aminolevulinic-acid	Oxidizing agent
750	44.4	cp	BRD-K76064317	tyrphostin-AG-1296	FLT3 inhibitor
751	44.34	cp	BRD-K01253243	SB-590885	RAF inhibitor
755	44.21	cp	BRD-K04976539	aminogenistein	SRC inhibitor
759	44.16	cp	BRD-K63606607	bufalin	ATPase inhibitor
765	43.76	cp	BRD-K01612348	meropenem	Bacterial cell wall synthesis inhibitor
768	43.64	cp	BRD-A39415247	norethisterone	Progesterone receptor agonist
776	43.29	cp	BRD-K68437527	EMF-bca1-60	caspase inhibitor
781	43.17	cp	BRD-A20131130	2',5'-dideoxyadenosine	Adenylyl cyclase inhibitor
782	43.17	cp	BRD-K50660797	epicatechin	Bacterial DNA gyrase inhibitor
786	43.05	cp	BRD-K76698671	HNHA	HDAC inhibitor
792	42.95	cp	BRD-K13664374	dichloroacetic-acid	Pyruvate dehydrogenase kinase inhibitor
793	42.9	cp	BRD-K98157055	SIB-1757	Glutamate receptor antagonist
798	42.84	cp	BRD-A15530910	carpindolol	Adrenergic receptor antagonist
799	42.83	cp	BRD-K34014345	naproxol	Anti-inflammatory
804	42.65	cp	BRD-A63043573	cabergoline	Dopamine receptor agonist
805	42.63	cp	BRD-A78377521	monastrol	Kinesin-like spindle protein inhibitor
806	42.58	cp	BRD-K28428262	brivanib	FGFR inhibitor
808	42.52	cp	BRD-A85472596	L-670596	Prostanoid receptor antagonist
812	42.3	cp	BRD-K09255212	clioquinol	Chelating agent
813	42.26	cp	BRD-K87510569	RS-504393	CC chemokine receptor antagonist
815	42.11	cp	BRD-A87125127	3-matida	Glutamate receptor antagonist
817	41.99	cp	BRD-K54759182	dosulepin	Norepinephrine reuptake inhibitor
825	41.79	cp	BRD-K61951118	FG-7142	GABA benzodiazepine site receptor inverse agonist
827	41.77	cp	BRD-K35483542	alitretinoin	Retinoid receptor agonist
834	41.41	cp	BRD-K41170226	deoxycholic-acid	G protein-coupled receptor agonist
841	41.24	cp	BRD-A92177080	betamethasone	Glucocorticoid receptor agonist
842	41.23	cp	BRD-K97061094	azacyclonol	Histamine receptor antagonist
843	41.19	cp	BRD-A14985772	ascorbyl-palmitate	antioxidant
846	41.11	cp	BRD-K47207162	zimelidine	Serotonin reuptake inhibitor
849	41.06	cp	BRD-U82589721	HG-5-113-01	Protein kinase inhibitor
850	41.06	cp	BRD-K54771420	glycocholic-acid	Cholesterol inhibitor
853	40.96	cp	BRD-K61217870	n-(3-acetamidophenyl)-3-chlorobenzamide	Glutamate receptor antagonist
856	40.86	cp	BRD-A53131506	epitestosterone	Inactive testosterone analog
857	40.78	cp	BRD-A56020723	CA-074-Me	Cathepsin inhibitor
858	40.73	cp	BRD-A99571536	dubinidine	Anti-epileptic
862	40.55	cp	BRD-K48735772	PD-158780	EGFR inhibitor
865	40.5	cp	BRD-A17428743	BW-723C86	Serotonin receptor agonist
869	40.33	cp	BRD-K09471561	levofloxacin	Bacterial DNA gyrase inhibitor
871	40.3	cp	BRD-K37720887	SB-525334	TGF beta receptor inhibitor
873	40.24	cp	BRD-K87573634	propylpyrazole	Estrogen receptor agonist
881	40.09	cp	BRD-K53414658	tivozanib	VEGFR inhibitor
882	40.05	cp	BRD-K60460488	nelfinavir	HIV protease inhibitor
883	39.97	cp	BRD-A90131694	alclometasone	Glucocorticoid receptor agonist
887	39.83	cp	BRD-K25186396	tangeritin	Cell cycle inhibitor
888	39.81	cp	BRD-K75641298	metoclopramide	Dopamine receptor antagonist
892	39.74	cp	BRD-K13810148	givinostat	HDAC inhibitor
900	39.56	cp	BRD-K15196155	IBC-293	Hydroxycarboxylic acid receptor agonist
904	39.47	cp	BRD-K16664969	GTP-14564	FLT3 inhibitor
905	39.47	cp	BRD-K68407802	KIN001-055	EGFR inhibitor
908	39.36	cp	BRD-A39230911	chlorphensin	Muscle relaxant
909	39.32	cp	BRD-K13169950	NSC-3852	HDAC inhibitor
911	39.23	cp	BRD-U88459701	atorvastatin	HMGCR inhibitor
915	39.11	cp	BRD-K70401845	erlotinib	EGFR inhibitor
918	39.05	cp	BRD-K24994810	androstenol	GABA receptor modulator
919	39.04	cp	BRD-K45988865	tetramethylsilane	Internal standard for NMR spectroscopy
920	39.03	cp	BRD-K05906022	limonin	HIV protease inhibitor
922	38.9	cp	BRD-K28029915	dolasetron	Serotonin receptor antagonist
924	38.89	cp	BRD-K28667196	fillalbin	Increases arterial blood pressure
925	38.86	cp	BRD-K72222507	quinapril	ACE inhibitor
930	38.75	cp	BRD-K46678324	RHO-kinase-inhibitor-II	Rho associated kinase inhibitor
935	38.58	cp	BRD-A70268693	PG-9	Acetylcholine receptor agonist
948	38.19	cp	BRD-K17674993	diflorasone	Corticosteroid agonist
950	38.17	cp	BRD-K64800655	PHA-793887	CDK inhibitor
952	38.06	cp	BRD-K04923131	GSK-3-inhibitor-IX	Glycogen synthase kinase inhibitor
953	38.01	cp	BRD-K51575138	TPCA-1	IKK inhibitor
954	38	cp	BRD-A88254928	salbutamol	Adrenergic receptor agonist
959	37.92	cp	BRD-K80325895	eicosadienoic-acid	-666
962	37.9	cp	BRD-A24381660	zeranol	Estrogen receptor agonist
968	37.55	cp	BRD-K60230970	MG-132	Proteasome inhibitor
978	37.41	cp	BRD-K01555864	dibenzoylmethane	Antineoplastic
985	37.18	cp	BRD-K82983861	GW-0742	PPAR receptor agonist
990	36.96	cp	BRD-K02123250	JNJ-38877605	Tyrosine kinase inhibitor
992	36.91	cp	BRD-K39670393	amthamine	Histamine receptor agonist
993	36.9	cp	BRD-K40645748	mefloquine	Adenosine receptor antagonist
995	36.86	cp	BRD-K73978287	hydrocortisone	Glucocorticoid receptor agonist
996	36.83	cp	BRD-A35108200	dexamethasone	Glucocorticoid receptor agonist
999	36.72	cp	BRD-K51677086	erythromycin	NFkB pathway inhibitor
1003	36.54	cp	BRD-A91452556	estradiol-cypionate	Estrogen receptor agonist
1004	36.5	cp	BRD-K67578145	GDC-0879	RAF inhibitor
1006	36.37	cp	BRD-K31633810	DAU-5884	Acetylcholine receptor antagonist
1011	36.21	cp	BRD-K32398298	alprazolam	Benzodiazepine receptor agonist
1016	36.12	cp	BRD-K67439147	SIB-1893	Glutamate receptor antagonist
1018	36.06	cp	BRD-K08619574	thioproperazine	Dopamine receptor antagonist
1025	35.91	cp	BRD-K00673382	famotidine	Histamine receptor antagonist
1028	35.77	cp	BRD-K89375097	pirenzepine	Acetylcholine receptor antagonist
1029	35.75	cp	BRD-K97863768	prothionamide	Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor
1030	35.71	cp	BRD-K11696279	BU-239	Imidazoline receptor agonist
1043	35.32	cp	BRD-K38449220	seneciphylline	Cytochrome P450 inhibitor
1046	35.15	cp	BRD-K11634954	GBR-13069	Dopamine uptake inhibitor
1049	35.09	cp	BRD-K68190965	GR-46611	Serotonin receptor agonist
1058	34.84	cp	BRD-K79366068	PSB-069	NTPDase inhibitor
1062	34.74	cp	BRD-K14441456	tyrphostin-AG-556	EGFR inhibitor
1064	34.62	cp	BRD-K70914287	BIBX-1382	EGFR inhibitor
1065	34.61	cp	BRD-A17065207	brefeldin-a	Protein synthesis inhibitor
1070	34.52	cp	BRD-K67298865	SB-431542	TGF beta receptor inhibitor
1071	34.51	cp	BRD-K51805276	temefos	Cholinesterase inhibitor
1074	34.48	cp	BRD-K74501079	azithromycin	Bacterial 50S ribosomal subunit inhibitor
1077	34.39	cp	BRD-K41567364	SB-334867	Orexin receptor antagonist
1085	34.09	cp	BRD-A11605036	thiocolchicoside	GABA receptor antagonist
1094	33.69	cp	BRD-K24240364	GYKI-52466	Glutamate receptor antagonist
1104	33.56	cp	BRD-K68132782	terbinafine	Fungal squalene epoxidase inhibitor
1109	33.33	cp	BRD-A10420615	cyclopiazonic-acid	ATPase inhibitor
1110	33.3	cp	BRD-K70487031	flupentixol	Dopamine receptor antagonist
1111	33.27	cp	BRD-A41112154	oleanolic-acid	G protein-coupled receptor agonist
1114	33.18	cp	BRD-K30296925	flavokavain-b	Antineoplastic
1120	33.11	cp	BRD-K79124250	ioxaglic-acid	Radiopaque medium
1126	32.97	cp	BRD-K82036761	sertraline	Serotonin receptor antagonist
1128	32.93	cp	BRD-K41895714	AS-605240	PI3K inhibitor
1132	32.81	cp	BRD-K42095107	daidzein	Estrogen receptor agonist
1133	32.79	cp	BRD-K81209159	herniarin	Acetylcholinesterase inhibitor
1134	32.78	cp	BRD-A28746609	paclitaxel	Tubulin inhibitor
1136	32.73	cp	BRD-K85015012	NNC-05-2090	GAT inhibitor
1141	32.59	cp	BRD-K46137903	prednicarbate	Phospholipase activator
1155	32.17	cp	BRD-K03642198	AY-9944	Hedgehog pathway modulator
1157	32.07	cp	BRD-A39172021	ampiroxicam	Cyclooxygenase inhibitor
1168	31.62	cp	BRD-A04327189	synephrine	Adrenergic receptor agonist
1170	31.56	cp	BRD-K43468059	byssochlamic-acid	Mycotoxin
1177	31.38	cp	BRD-K42500029	CGP-57380	MAP kinase inhibitor
1179	31.35	cp	BRD-K08998509	fananserin	Dopamine receptor antagonist
1185	31.1	cp	BRD-A72988804	tiaprofenic-acid	Cyclooxygenase inhibitor
1186	31.09	cp	BRD-K23369905	oxiconazole	Bacterial cell wall synthesis inhibitor
1188	31.08	cp	BRD-K40992116	parachlorophenol	Anti-infective
1189	31.06	cp	BRD-K83010055	VU-0415374-1	Glutamate receptor modulator
1190	31.01	cp	BRD-K10065684	dantron	Laxative
1191	30.99	cp	BRD-U94846492	quinine	Hemozoin biocrystallization inhibitor
1192	30.98	cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
1200	30.76	cp	BRD-K56558538	ambroxol	Sodium channel blocker
1203	30.58	cp	BRD-K32710582	EI-247	IGF-1 inhibitor
1217	30.17	cp	BRD-K08206212	entecavir	Reverse transcriptase inhibitor
1218	30.14	cp	BRD-K05181084	NGB-2904	Dopamine receptor antagonist
1234	29.68	cp	BRD-K17008822	BD-1008	Sigma receptor antagonist
1236	29.65	cp	BRD-K22227508	targinine	Nitric oxide synthase inhibitor
1239	29.61	cp	BRD-A49906757	scopolamine	Acetylcholine receptor antagonist
1241	29.55	cp	BRD-K17110974	aristolochic-acid	Phospholipase inhibitor
1247	29.39	cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker
1252	29.26	cp	BRD-A00993607	alprenolol	Adrenergic receptor antagonist
1263	28.78	cp	BRD-A55369275	CGP-54626	GABA receptor antagonist
1265	28.73	cp	BRD-A92161634	scopoline	Acetylcholine receptor antagonist
1267	28.72	cp	BRD-K07237224	moclobemide	Monoamine oxidase inhibitor
1270	28.54	cp	BRD-K34441861	moexipril	ACE inhibitor
1290	28.03	cp	BRD-K82941592	rosuvastatin	HMGCR inhibitor
1293	27.98	cp	BRD-M00539986	formoterol	Adrenergic receptor agonist
1295	27.96	cp	BRD-A49046702	SKF-89976A	GABA uptake inhibitor
1300	27.85	cp	BRD-A26002865	verrucarin-a	Protein synthesis inhibitor
1310	27.58	cp	BRD-K48300629	zonisamide	Sodium channel blocker
1317	27.45	cp	BRD-K85030058	benactyzine	Acetylcholine receptor antagonist
1323	27.34	cp	BRD-K70505054	ranitidine	Histamine receptor antagonist
1325	27.31	cp	BRD-K61192372	capecitabine	DNA synthesis inhibitor
1326	27.31	cp	BRD-K12357156	AG-490	EGFR inhibitor
1328	27.27	cp	BRD-A56245458	reichstein	Androgen receptor antagonist
1330	27.25	cp	BRD-K61993165	niacin	NAD precursor with lipid lowering effects
1335	27.18	cp	BRD-A72596465	GW-6471	PPAR receptor antagonist
1336	27.14	cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor
1337	27.11	cp	BRD-K66782112	BRD-K66782112	Histamine receptor antagonist
1339	27.01	cp	BRD-K66206289	lobeline	Acetylcholine receptor antagonist
1340	26.98	cp	BRD-K78373679	RO-3306	CDK inhibitor
1341	26.96	cp	BRD-A25687296	emetine	Protein synthesis inhibitor
1343	26.94	cp	BRD-K59522102	piperine	Monoamine oxidase inhibitor
1344	26.93	cp	BRD-A28856712	tetryzoline	Adrenergic receptor agonist
1348	26.82	cp	BRD-K79116891	proxymetacaine	Sodium channel blocker
1350	26.77	cp	BRD-K40965114	cyanopindolol	Adrenergic receptor antagonist
1351	26.77	cp	BRD-A97739905	ketoprofen	Cyclooxygenase inhibitor
1352	26.72	cp	BRD-K08996725	zolantidine	Histamine receptor antagonist
1353	26.69	cp	BRD-A65076780	dihydroergocristine	Adrenergic receptor antagonist
1354	26.63	cp	BRD-K78122587	NNC-55-0396	T-type calcium channel blocker
1355	26.57	cp	BRD-K40530731	hyoscyamine	Acetylcholine receptor antagonist
1356	26.49	cp	BRD-K26674531	GR-235	Estrogen receptor agonist
1358	26.49	cp	BRD-K45117373	Y-26763	Potassium channel activator
1360	26.46	cp	BRD-K34437622	BRD-K34437622	Thymidylate synthase inhibitor
1361	26.42	cp	BRD-A27489425	rolitetracycline	Bacterial 30S ribosomal subunit inhibitor
1367	26.23	cp	BRD-K11742128	triprolidine	Histamine receptor antagonist
1368	26.21	cp	BRD-K28168037	fenretinide	Apoptosis stimulant
1370	26.15	cp	BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	Matrix metalloprotease inhibitor
1373	26.02	cp	BRD-K96144918	mead-acid	KPL-1 tumor suppressor
1377	25.99	cp	BRD-A35519318	benidipine	Calcium channel blocker
1380	25.92	cp	BRD-K82562631	tolmetin	Cyclooxygenase inhibitor
1384	25.83	cp	BRD-K08890269	CO-102862	Sodium channel blocker
1387	25.82	cp	BRD-A94413429	NTNCB	Neuropeptide receptor antagonist
1389	25.74	cp	BRD-K13642330	cosmosiin	Cytochrome P450 inhibitor
1390	25.65	cp	BRD-K72541103	JAK3-inhibitor-I	JAK inhibitor
